Tenant,Event,Time(EST),Store Type,User Name
tailwindnutrition,Order Import Started, 8 Jun 2017 11:14:23 AM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 11:43:15 AM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 11:58:35 AM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 12:05:19 PM,,twship16
tailwindnutrition,Order Import Started, 8 Jun 2017 13:48:53 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 09:06:38 AM,,tailwindnu2
tailwindnutrition,Order Import Canceled, 9 Jun 2017 09:06:39 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 09:15:20 AM,,twship16
tailwindnutrition,Order Import Started, 9 Jun 2017 10:30:23 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 10:38:01 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 11:24:19 AM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 11:32:51 AM,,twship16
tailwindnutrition,Order Import Started, 9 Jun 2017 11:46:55 AM,,twship16
tailwindnutrition,Order Import Started, 9 Jun 2017 13:34:00 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 13:58:16 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 14:10:21 PM,,tailwindnu2
tailwindnutrition,Order Import Started, 9 Jun 2017 15:38:50 PM,,twship16
tailwindnutrition,Order Import Started,10 Jun 2017 11:06:11 AM,,twship16
tailwindnutrition,Orders Delete,10 Jun 2017 12:24:23 PM,,tailwindnu2
tailwindnutrition,Orders Delete,10 Jun 2017 12:24:51 PM,,tailwindnu2
tailwindnutrition,Orders Delete,10 Jun 2017 12:40:43 PM,,tailwindnu2
fowlervw,Order Import Started, 5 Jun 2017 13:57:32 PM,,Drew
fowlervw,Order Import Started, 5 Jun 2017 13:58:17 PM,,Drew
fowlervw,Order Import Started, 5 Jun 2017 13:58:31 PM,Shipstation API 2,Drew
fowlervw,Order Import Started, 7 Jun 2017 14:43:08 PM,Shipstation API 2,Drew
fowlervw,Order Import Started, 7 Jun 2017 17:05:02 PM,,Drew
fowlervw,Order Import Started, 8 Jun 2017 14:16:47 PM,Shipstation API 2,Drew
fowlervw,Order Import Started, 8 Jun 2017 15:27:48 PM,Shipstation API 2,Drew
fowlervw,Order Import Started, 8 Jun 2017 15:27:56 PM,Shipstation API 2,Drew
fowlervw,Order Import Started, 8 Jun 2017 16:10:07 PM,Shipstation API 2,Drew
fowlervw,Order Import Started, 9 Jun 2017 13:31:18 PM,Shipstation API 2,Drew
healthpalace,Order Import Started, 5 Jun 2017 10:31:04 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 5 Jun 2017 11:45:13 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 5 Jun 2017 12:43:36 PM,Shipstation API 2,Staff1
